index	name	offset	size	crc32	in_bounds
356	VERTEXES	8972128	10192	6e5135f0	yes
357	SEGS	8982320	50280	96dfa5b3	yes
358	SSECTORS	9032600	5036	04392ba9	yes
359	NODES	9037636	35224	fe44be2c	yes
360	SECTORS	9072860	13468	7088cc35	yes
361	REJECT	9086328	33541	5136c92a	yes
362	BLOCKMAP	9119872	16928	44135d8a	yes
363	E4M7	9136800	0		yes
364	THINGS	9136800	11870	7422717b	yes
365	LINEDEFS	9148672	74606	98d7344e	yes
366	SIDEDEFS	9223280	235740	319db27c	yes
367	VERTEXES	9459020	20616	1e9a86f4	yes
368	SEGS	9479636	105252	e8af7090	yes
369	SSECTORS	9584888	10940	1140fcc3	yes
370	NODES	9595828	76552	307b8587	yes
371	SECTORS	9672380	25558	8310248b	yes
372	REJECT	9697940	120787	9f02ae03	yes
373	BLOCKMAP	9818728	32152	a83ba12b	yes
374	E4M8	9850880	0		yes
375	THINGS	9850880	4060	605eb579	yes
376	LINEDEFS	9854940	29358	dd453487	yes
377	SIDEDEFS	9884300	86640	4ff84615	yes
378	VERTEXES	9970940	7572	c20499d4	yes
379	SEGS	9978512	37332	c02c1b21	yes
380	SSECTORS	10015844	3524	2abc5050	yes
381	NODES	10019368	24640	d2e6c75a	yes
382	SECTORS	10044008	9048	bb471fc6	yes
383	REJECT	10053056	15138	93f426e6	yes
384	BLOCKMAP	10068196	18982	7f7a0ccc	yes
385	E4M9	10087180	0		yes
386	THINGS	10087180	10070	7ef7b0c8	yes
387	LINEDEFS	10097252	54138	ef38c2a9	yes
388	SIDEDEFS	10151392	165780	9acbbe01	yes
389	VERTEXES	10317172	14364	99777fa0	yes
390	SEGS	10331536	71916	7d275b82	yes
391	SSECTORS	10403452	7660	2efbb713	yes
392	NODES	10411112	53592	e5c73bd2	yes
393	SECTORS	10464704	16926	a1aed212	yes
394	REJECT	10481632	52976	bf890deb	yes
395	BLOCKMAP	10534608	22688	2d60beab	yes
396	PLAYPAL	10557296	10752	1e1e08c8	yes
397	COLORMAP	10568048	8704	72860f48	yes
398	GENMIDI	10576752	11908	0c83717a	yes
399	FREEDOOM	10588660	7	7b366c14	yes
400	DBIGFONT	10588668	9949	d839cc09	yes
401	DEHACKED	10598620	20938	e440d3f1	yes
402	ENDOOM	10619560	4000	e0c1f164	yes
403	DMXGUS	10623560	5472	91ba3a92	yes
404	DEMO1	10629032	28482	e12e2e03	yes
405	DEMO2	10657516	85082	9dedeeb5	yes
406	DEMO3	10742600	72518	afb00b17	yes
407	DEMO4	10815120	37646	caa62905	yes
408	TEXTURE1	10852768	43350	8765132d	yes
409	TEXTURE2	10896120	7936	422962db	yes
410	PNAMES	10904056	8396	e7e2aa11	yes
411	DSPISTOL	10912452	11034	64c6c37e	yes
412	DSSHOTGN	10923488	11199	ab28f26f	yes
413	DSSGCOCK	10934688	5116	b7e3b6d2	yes
414	DSSAWUP	10939804	17508	6f698ef5	yes
415	DSSAWIDL	10957312	20294	cea58fb7	yes
416	DSSAWFUL	10977608	10186	8c63b764	yes
417	DSSAWHIT	10987796	4911	6e217862	yes
418	DSRLAUNC	10992708	19659	1b80d4ec	yes
419	DSRXPLOD	11012368	43555	5ac45b0c	yes
420	DSFIRSHT	11055924	44017	2933d3e3	yes
421	DSFIRXPL	11099944	22513	13ce8faa	yes
422	DSPSTART	11122460	26500	f3a8e1c5	yes
423	DSPSTOP	11148960	24301	13a05e20	yes
424	DSDOROPN	11173264	36379	1fbfb1ad	yes
425	DSDORCLS	11209644	36659	add90219	yes
426	DSSTNMOV	11246304	2973	ab3e6ab2	yes
427	DSSWTCHN	11249280	18011	3c5d5bee	yes
428	DSSWTCHX	11267292	8537	772f6d73	yes
429	DSPLPAIN	11275832	17864	409b0b9c	yes
430	DSDMPAIN	11293696	19070	f7c57218	yes
431	DSPOPAIN	11312768	4616	c81ba120	yes
432	DSSLOP	11317384	23908	9f61cfa9	yes
433	DSITEMUP	11341292	2213	c9edc4b2	yes
434	DSWPNUP	11343508	5740	5a8d80e5	yes
435	DSOOF	11349248	7883	20999337	yes
436	DSTELEPT	11357132	23684	d57b5276	yes
437	DSPOSIT1	11380816	31437	166e4c5c	yes
438	DSPOSIT2	11412256	18933	e59b444f	yes
439	DSPOSIT3	11431192	18856	e722e37c	yes
440	DSBGSIT1	11450048	8562	3d197405	yes
441	DSBGSIT2	11458612	10331	ccd33ae2	yes
442	DSSGTSIT	11468944	23768	07b33fec	yes
443	DSBRSSIT	11492712	110488	e11a03bb	yes
444	DSSGTATK	11603200	20016	c504403c	yes
445	DSCLAW	11623216	9643	0324e809	yes
446	DSPLDETH	11632860	8281	0263b478	yes
447	DSPDIEHI	11641144	8909	e6db06d2	yes
448	DSPODTH1	11650056	37124	f3f8956a	yes
449	DSPODTH2	11687180	16239	aa429472	yes
450	DSPODTH3	11703420	17500	b2c181ad	yes
451	DSBGDTH1	11720920	9305	1bda7070	yes
452	DSBGDTH2	11730228	8723	1dfb466a	yes
453	DSSGTDTH	11738952	32638	006b57f1	yes
454	DSBRSDTH	11771592	19400	2d2135f7	yes
455	DSPOSACT	11790992	31048	80803934	yes
456	DSBGACT	11822040	10696	60ecf89b	yes
457	DSDMACT	11832736	31064	cc73d335	yes
458	DSNOWAY	11863800	8538	a689aea2	yes
459	DSBAREXP	11872340	22466	458da655	yes
460	DSPUNCH	11894808	5319	6e841ad4	yes
461	DSTINK	11900128	2639	088f0408	yes
462	DSBDOPN	11902768	18536	9725fec2	yes
463	DSBDCLS	11921304	16136	d1f533d2	yes
464	DSITMBK	11937440	15572	89666142	yes
465	DSGETPOW	11953012	4520	11b764ea	yes
466	DSPLASMA	11957532	28576	fb1e255a	yes
467	DSBFG	11986108	38307	0608b3ce	yes
468	DSCACSIT	12024416	26679	414e5798	yes
469	DSCYBSIT	12051096	51848	ae7baaa5	yes
470	DSSPISIT	12102944	39843	bdd1af45	yes
471	DSSKLATK	12142788	11174	4abec1ec	yes
472	DSCACDTH	12153964	26321	e3ded39c	yes
473	DSSKLDTH	12180288	8538	cf1e8d83	yes
474	DSCYBDTH	12188828	55731	3cbaeef9	yes
475	DSSPIDTH	12244560	34805	6ad27ff6	yes
476	DSHOOF	12279368	14000	91438f38	yes
477	DSMETAL	12293368	8079	3ec318bc	yes
478	DSOUCH	12301448	10482	1b3586e4	yes
479	DSJUMP	12311932	6035	95e28c30	yes
480	DPPISTOL	12317968	18	c51d5f8e	yes
481	DPSHOTGN	12317988	42	86c84bb3	yes
482	DPSGCOCK	12318032	63	03738ea8	yes
483	DPSAWUP	12318096	88	712f61d5	yes
484	DPSAWIDL	12318184	5	c7e09d2a	yes
485	DPSAWFUL	12318192	28	ee9647e6	yes
486	DPSAWHIT	12318220	28	40831eeb	yes
487	DPRLAUNC	12318248	63	25fb3f75	yes
488	DPRXPLOD	12318312	172	dfb8e510	yes
489	DPFIRSHT	12318484	35	fdb6ac14	yes
490	DPFIRXPL	12318520	17	795574f2	yes
491	DPPSTART	12318540	41	b55e1945	yes
492	DPPSTOP	12318584	17	d8ca21de	yes
493	DPDOROPN	12318604	73	b0b955a9	yes
494	DPDORCLS	12318680	71	1f1bd401	yes
495	DPSTNMOV	12318752	8	e4dd536f	yes
496	DPSWTCHN	12318760	28	834c21bd	yes
497	DPSWTCHX	12318788	29	157428c1	yes
498	DPPLPAIN	12318820	30	2c414e83	yes
499	DPDMPAIN	12318852	41	f4235b9a	yes
500	DPPOPAIN	12318896	38	974fd281	yes
501	DPSLOP	12318936	109	af3ceb86	yes
502	DPITEMUP	12319048	87	124b4c6f	yes
503	DPWPNUP	12319136	44	30372e62	yes
504	DPOOF	12319180	19	e92cb591	yes
505	DPTELEPT	12319200	102	8351ec26	yes
506	DPPOSIT1	12319304	111	d258b8c3	yes
507	DPPOSIT2	12319416	111	c89c2542	yes
508	DPPOSIT3	12319528	111	e8871f39	yes
509	DPBGSIT1	12319640	111	d258b8c3	yes
510	DPBGSIT2	12319752	111	d258b8c3	yes
511	DPSGTSIT	12319864	111	bafc47de	yes
512	DPBRSSIT	12319976	108	000e46ae	yes
513	DPSGTATK	12320084	74	dc9c2eea	yes
514	DPCLAW	12320160	46	fae6237b	yes
515	DPPLDETH	12320208	149	a0d9167b	yes
516	DPPDIEHI	12320360	78	deedb4e9	yes
517	DPPODTH1	12320440	89	d0df6274	yes
518	DPPODTH2	12320532	89	bc00f70e	yes
519	DPPODTH3	12320624	89	c44e1637	yes
520	DPBGDTH1	12320716	89	d0df6274	yes
521	DPBGDTH2	12320808	89	bc00f70e	yes
522	DPSGTDTH	12320900	89	d0df6274	yes
523	DPBRSDTH	12320992	112	a1d95e9d	yes
524	DPPOSACT	12321104	30	c1032dba	yes
525	DPBGACT	12321136	99	82c1bb18	yes
526	DPDMACT	12321236	27	619f5a7c	yes
527	DPNOWAY	12321264	41	8b174da9	yes
528	DPBAREXP	12321308	83	05f08a9d	yes
529	DPPUNCH	12321392	37	d911c00d	yes
530	DPTINK	12321432	52	eeb4503f	yes
531	DPBDOPN	12321484	41	562a01a4	yes
532	DPBDCLS	12321528	46	b5800811	yes
533	DPITMBK	12321576	85	94bda26f	yes
534	DPGETPOW	12321664	137	de4a3615	yes
535	DPPLASMA	12321804	42	47e06c48	yes
536	DPBFG	12321848	188	62966457	yes
537	DPCACSIT	12322036	112	95331431	yes
538	DPCYBSIT	12322148	149	8998fc54	yes
539	DPSPISIT	12322300	148	6eb29937	yes
540	DPSKLATK	12322448	80	f544870f	yes
541	DPCACDTH	12322528	89	d0df6274	yes
542	DPSKLDTH	12322620	17	795574f2	yes
543	DPCYBDTH	12322640	137	3ed36bd8	yes
544	DPSPIDTH	12322780	113	99e3160c	yes
545	DPHOOF	12322896	80	b618f298	yes
546	DPMETAL	12322976	19	2190e7cb	yes
547	D_E1M1	12322996	50124	591edd82	yes
548	D_E1M2	12373120	26277	85337140	yes
549	D_E1M3	12399400	28658	cf9c2a04	yes
550	D_E1M4	12428060	30612	a5bb42fa	yes
551	D_E1M5	12458672	33533	4bb3be35	yes
552	D_E1M6	12492208	30670	569530f5	yes
553	D_E1M7	12522880	41876	73e00342	yes
554	D_E1M8	12564756	9078	49b09961	yes
555	D_E1M9	12573836	26219	a9537059	yes
556	D_INTER	12600056	18900	786fef02	yes
557	D_INTRO	12618956	2792	d696ee00	yes
558	D_VICTOR	12621748	58284	6aa55073	yes
559	D_INTROA	12680032	2792	d696ee00	yes
560	D_E2M1	12682824	49323	32f2c2ab	yes
561	D_E2M2	12732148	41174	b563ccf0	yes
562	D_E2M3	12773324	46220	67932a61	yes
563	D_E2M4	12819544	58251	fe8bf515	yes
564	D_E2M5	12877796	70279	9f380612	yes
565	D_E2M6	12948076	61031	b7f83e08	yes
566	D_E2M7	13009108	28596	d45ed433	yes
567	D_E2M8	13037704	49354	4a357cd7	yes
